🉁,三
沿,㳂巡鉛鈆沇𡵴沿
沿,沿
演,𤀋🈦
炎,𤆌炏焰焔𡗩
焔,焰燄㷔熖炎
煙,烟𠖜𠖣𡇽𡨾𤎟𤊗㷑𤎆𤏯𤰓
燕,鷰㷼宴郾觾䴏𪈏
猿,猨蝯𤝌𤟗𪻅𤠔𧳭𧳷𫞤𤠔
縁,緣
艶,豔艷豓
苑,𦭘菀藴宛園𫟍𨙨
薗,𬕶園
遠,远逺𢕱𨖸𫟨
鉛,铅鈆沿
鴛,鸳𡖅夗鵷𫠔
塩,鹽𦣪𫞱
於,于扵𣱏𤋬烏𤕘
汚,污汙𣱴
甥,生㽒𤯳娚
凹,𢈈𥑑䆟丫凷𬮍
央,殃㡕泱
奥,𪥌隩𠆇𠆑𢍢𡪃𡪿𥨩澳䐿奧嶴墺擙歐
往,徃王徍𧗧𢓸𢓯𢔎𣶂迬𨓹𨓏住𨓒
応,應
押,壓握拤抻
旺,王暀𣈧枉
横,衡黌桄櫎撗橫潧
欧,歐
殴,毆
王,玉𡈼旺往𠙻𠰶𥝍𡭤壬𢏝
王,玉
翁,滃𣸜𩔚
襖,袄𧞯
鴬,鶯
鴎,鷗
黄,潢𡕛𨝴黃
岡,冈坑𡶬𠆼堽𡶩𡷇堈㟵𦊤𨹽崗𫝍𦊆㟠鏮罡㓻𡹤
沖,冲盅僮童衝祌𥁵浺
荻,蔐𧁱藡萩
億,亿意𠐥𢡃噫抑臆𠌼
屋,剭𡲃𦤼𦥂𦤿
憶,忆意臆膉荟
臆,億肊𩪩𩪣醫憶膉𩪙
桶,甬
牡,𡉯𤚴𪋂壯壮
乙,𠃉𠄌鳦乚乛𠃊𠃋𠃌𠃍𠃎𠃑𠯲𧾹𬦈
卸,缷寫䣃
恩,㤙𤹕𢙍
温,藴醖蕰昷溫𥁕𧪍
穏,穩
穏,穩
音,意
下,𠄟丅吓𫰈
化,𠏁𠤎𠯒𢡺花貨吪𫢮匕𫁉㐶𠆧
仮,反假
何,可訶呵河荷䏩
伽,茄加
価,徆價似
加,架假駕伽
可,何𠍟妿歌🉑古故訶
嘉,賀
夏,雅暇假檟𠀼𠌘𠍺𡔰𤴞𡕭𡕻𡕾𡖃昰𣋗𧈄𩖳廈夓𨂮
嫁,家𧱌
家,傢稼嫁𠖔宊𡧚𡩅𡩙𡩚𡩵笳𡩀
寡,顧𠆣𡪍𡩼𧵿括
科,坎窠棵
暇,夏睱
果,菓裏婐臝裸祼𣐭惈𤬁
架,加枷𢉤榢𢱌
歌,謌謂可哥𡃭𣤑𣤒欢
河,何𢀎
火,灬夥𤆄煷伙𤋼㶡
珂,砢
禍,祸旤過𣨱𣨷𢢸䄀𥙯𥚁𥚟𥚍𥚣𥚽𥛔𧙹𧛂𧜓𨉒𨉵𨊇禍
禍,禍旤𣨱𣨷䄀𥙯𥚍𥛔𧙹
禾,和𥝌
稼,家斝假𥝿𦹜
箇,个個
花,芲蘤化𠌶華𦾓花
花,花
苛,疴訶荷
茄,荷伽𫇦
荷,苛訶茄何抲𢬲嗬𤅟𫇩𫉁菏
華,华樺花𠌶𠫫崋𡸓𡼀𡼙𡾀䅿𦰗䔢蕐𦾓譁𧅅𣓚𫈐𦮴𦶎蘤
菓,果
蝦,虾瑕赮霞徦𧎂鰕
課,课
嘩,哗譁
貨,货𣱷化𧵰𧴦𧷴
迦,𨔣邂
過,过𬨨禍輠𨒵𨓺
霞,蝦赮遐
蚊,螡蟁蚉𧉬𧊈𧏎𧓹䘇𧖁𧓢鴖𨷷
俄,睋蛾義儀議𩒰
峨,峩義𠩙𡻍𡽥硪
我,𠨂𢦐𢦖𢦠𨈟𩇶𢦓𨖍
牙,伢衙𤘉𤘈𨈏齖芽㸦𤘈𤘍𨈑
画,畫劃𤰱
臥,卧
芽,牙䄰芽
芽,芽
蛾,俄䖸𧒎蟻
賀,贺嘉𥫿
雅,夏伢疋𤴓鴉
餓,饿
駕,驾加𤙑𩢟
介,害𡗦甲价芥匄哲𡗟𡗲㝏界䚸揩改皆盖给圿𣎴
会,會𪩚曼
解,鳩豸蟹懈𦴘觧🈖𫽜
回,囘廻迴逥囬佪𢌞𡇌徊違韋蛔恢𩶠
塊,块魁蕢傀𠙽𠚛蒯𡉇㙕墤𡒽磈凷
壊,壞潰
廻,回廽迴逥𢌞
快,噲𢘦駃筷
怪,恠𠬭𢘪
悔,𢙽悔挴悔𠧩
悔,悔𢙽
悔,悔
恢,㷇𢉸烣𨒭回𢊝
懐,懷褱
戒,届𢌵𢦥𢦶𢦬誡誨𫽜
拐,柺
改,攺𨸩介圿𫽜
魁,𣁽𠂤堆塊櫆𩲅𩲙𩲔𩳭鬿
械,㭜
海,𣳠𣴴海挴𢵱海
海,海𣴴
海,海
灰,𤆆灰
灰,灰
界,介𠇎堺𢌯𠷟畍𨺬圿𫽜
皆,偕𣅜介𫽜
絵,繪
芥,介𠟝𦬉𦲈
蟹,蠏解䲒𩼠
開,开𫔭岍䦐𨴉𨵑𨵹𨶘𨴂開𨴔𨶷
開,開
階,阶堦稽
貝,贝蛽𪚾
凱,凯愷𧇔豈
劾,𠛳𠜨𠡌勓
外,夘𡖄处
咳,欬閡𠹛𠺡孩嗐嚡𡂝𫫂𫫭唻𤸺
害,轄𡗦介曷遏蓋𠕛𡧱𤇵碍𡨟
崖,厓崕𪘬
慨,嘅㮣愾慨
慨,慨
概,槩槪溉楬㮣槪杚
涯,厓漄
碍,礙害𩛴
蓋,盖葛盍闔害𤇁葢乢𤇙
該,该垓
鎧,铠
骸,胲𡱍䠹䯐𩩏𩩰
浬,浰
馨,羶𠷓𡄈𤯒䅽馫㯏𪐕
蛙,鼃𡔩𡔻䖯𪓤䵷
垣,𩫧𥥣𩰵垠
柿,柹杮沛枾𣐈
蛎,蠣
鈎,钩鉤句
劃,划㓰𠜻劐𠟱𠟷㩇畫画𠞷
嚇,吓赫𠁗哧𠵢唬䓇
各,名格
廓,𢋽𢌓霩郭
拡,擴挄
撹,攪捁
格,假瑕輅垎落𠲱𢓜䈷挌骼㭲各拤擖㦴
核,覈荄𣝗
殻,壳㱿殼
獲,获穫嚄矱隻𫉬擭
確,确塙碻礭角硈
穫,获獲劐耯
覚,覺覐
角,較确觳鹿捔𧢲觮龣𪛓甪㭲確
赫,嚇螫𡎓㚘焃爀䓇𧹘𠵢
較,较覺校角䡈𨊿
郭,椁虢𩫏墎𨞥𩫩𨟍𨽏廓擖𠆀𩫃
閣,阁閤擱
隔,鬲擊膈融𤗦𨼣𨼥
革,亟𠦶諽䩯䪂𩎎
学,學斈斅孛
岳,嶽𡵹𡵽𡶓𡶳
楽,樂乐
額,额頟頞𩓘
顎,颚𩒕𩕦𩖀䫷
掛,挂卦絓
笠,笈
樫,㭴坚𠻷𬒎
梶,𣔉𪳄
鰍,鳅鰌𩹤鱃
潟,澙瀉舄泻
割,𠛢𠛛𠛷㓣𧗶🈹割㓮
割,割
喝,猲哈𠿒𡀽𡁁喝
喝,喝𠿒𡀽
括,𢬸越栝廥佸寡
活,𣴠𣸅𣽅𣿛濶𢪥㓉𤾾
渇,渴
滑,淈猾抇磆
葛,褐蓋𨞛擖
褐,葛𧝶𧝽褐
褐,褐𧝶𧝽
轄,辖害舝𨍤䡷鎋𩏓輨
且,旦徂沮𠀃𠀇俎駔𣅂
鰹,鲣
叶,葉汁協
椛,𦭈
樺,桦𣛛檴華㯉樗
鞄,匏枹鮑包䩝𩊋𩋲𩍂𩎘
株,朱
兜,兠𤾆𤾇𦋌蔸㨮㿡
竃,竈灶𥧄䆴
釜,𨥏鬴𩱉釡𠿽
鎌,镰鐮劆䥥
噛,嚙齩
鴨,鸭𪀋𪀌𩿼𪁗𪁨
栢,柏
茅,茆旄苗芧
萱,萲蕿藼蘐萓𦯥
粥,𥺞鬻俼𩱟
刈,艾㐅𠛄𠛟苅𠚫俘乂
苅,𫟌刈
瓦,𤬦
乾,乹干亁幹𠃵𠄃𠄊𣦖漧𠄄𠄋𨺩
侃,偘𠈉
冠,鸛𠙙𠖌𠜍𢃙
寒,𡫙𡫜𡫮𡫾𣽬𪳶㥶
刊,栞竿刋𣓁
勘,堪戡𧿞
勧,勸
巻,倦卷
喚,唤𧠮嚾喛𡅻
堪,𢦟龕勘戡媅妉墋坎塪𡌢
姦,奸菅干姧𡝎𢙶𡜑𢛝
完,院寬皃
官,管關𠂥𡧺𠕍𡦹
寛,寬
干,乹乾亁幹榦姦𢧀旱千
幹,干斡龫榦澗乾矸豻管翰𠧄𩩃䯎
患,𢤒𨴮𢠶𢡙
感,撼憾𢦡
慣,惯矔摜貫遦
憾,感𢜩
換,换
敢,𪠬𠭖𢽤𢽿𢼿𣪏𣆸
柑,拑甘
桓,𣒯𪳶亘
棺,𣑄栕
款,欵窾𣢸𣣇歀𣣙𣤂㱁𣢻
歓,歡驩
汗,旱𡊺焊汘
漢,汉𣶔㵄𤁉漢
漢,漢𣶔㵄𤁉
澗,涧㵎幹𡼥礀𧯎
潅,灌
環,环鍰還營原𡑡𤧖瑗𤨔𤪹𨰄鬟繯
甘,𠮚柑𤮺𠙸𠙿𤮽酣㤌
監,监𪾋嚂𧗄𧨭𧩾譼鑑
看,𡈟𡰶𥉏𨌁㸔
竿,刊杆笴𣔼𥫞
管,筦幹浣官關琯𨵄观菅𥭨
簡,简𥳑閒柬諫摜籣翰蕑
緩,缓𦅻𦇻
缶,𦈢𤭟缻𦈪罐
翰,幹𠣍𨎰𩙶鶾簡𩙴
艦,舰
莞,筦莧萖𦸌唍𠴡𦯜𦺊𦼍
観,觀
諌,諫
貫,贯丱彎宦關慣𢿒毌䝺
還,还儇環營𢕼瞏𨕔𨖞𨘣
鑑,鉴鑒濫監鍳鑬𨰲
間,间閒𨳢𨳡𨳿
閑,闲𫔜閒嫺䦥閖
関,關𠈪
陥,陷
韓,韩𡋶㙔𩏑
館,馆舘舘館
館,館舘舘
舘,馆館館𪷈
舘,館館
丸,凡垸𠁽丸
丸,丸
含,𪢪陷𠲒唅琀𫩧
岸,㟁𡵫犴厈垾屽𡶜𡵱
巌,巖巗
玩,翫抏忨貦
癌,嵓𤸔
眼,𥃩𥆢嵌
岩,嵒巖巗嵓啱
翫,玩𩢄𠐢抏
贋,赝贗偐雁鴈
雁,鴈𪁡贋鳫𩿫
頑,顽元忨䪲
顔,颜𦫞𩕝𩠪顏
願,愿𫖸𠪰𢥧𩕮𩕾𩔊
企,跂𠈮𨀣𧾺𧿍仚
伎,技忮𢺵𠇞𠆸
危,微詭跪厃𠝰𡴸𡴲𡵁𩨾
喜,熙饎𡔯𢐭歖憙憘嬉㐂𠶮𢝫𦬅
器,𠾖氣噐𡄛𦈯器
器,器噐𡄛𦈯
基,朞其𡉊𡉝𡋵𨄎踑
奇,羇寄倚觭畸竒綺𩡺
嬉,熙喜娭
寄,奇
岐,𪨵㞿㟚𡹉歧𨙸
希,𫯜絺𠬹㠻𢁫睎稀唏𢂞𢁙𠬯
幾,几譏刉刏冀頎豈僟機𢆻𢆼𢇒𢇓𨗂㡬
忌,綦坖㤅誋諅
揮,挥翬徽輝𢰄撝𢯷𢱳㩣㫎𨍂麾
机,機杌几榿
旗,旂箕㫅
既,旣既旣
既,既
期,朞其夔𠔸𡢁𣔔𣅆𣇳㫷𣍠𣍣𣍡稘𥟝𪜝𡥝
棋,棊碁琪騏㯦櫀檱
棄,弃甭𠔚𠆉𠬇𢍞𨓫毀𣓪𨓋弆
機,机幾異
帰,歸皈
毅,𣪣𣫖𣫚䝘𣪴
気,氣炁气𣱖
汽,汔滊
畿,𤳀祈圻㙨
祈,畿蘄䃽𣂘𣄨祈
祈,祈𣄨
季,𡥞𡦠𧇯𩐄𩐖
稀,晞希
紀,纪記𥿓紀
紀,紀
徽,幑揮微褘緯𢾰記𥃘
規,规槼窺巂瞁䂓𧠹𩑬𩓠𩒙
記,记紀冀𧪄徽
貴,贵𡭙𧶪䝿𧷈𧸋謉
起,𡆡𢀽𨑔𨑖𨑓起
起,起
軌,轨宄簋𨑍䡄𧗝𧗢軓
輝,辉煇暉揮𠓊灳煒𤐕𪏕
飢,饥𩚌饑𩚎𩚐𩚑𩚮𩜆𩚚
飢,𩚬
騎,骑
鬼,𢇼𣆠𩲡𤱲𩲚𩲞𩳉𩳹𩴿謉𢧩
亀,龜𫣒𬺞
偽,為帷訛䞈僞吪媯
儀,仪𪜧義獻俄𥫃𥪺
妓,𪥩姼
宜,𠣨冝𠖃宐𡧧𡨆𡪀㝖𢣕𥄋
戯,戏戱戲
技,伎𢪊
擬,拟儗疑𣝆懝譺
欺,䫏倛
犠,犧
疑,擬儗𠤗𠤘𥎲𦬦𩉏𢣕𡷪
祇,只衹秖祗禔多𣱊示𥘢𥙆
義,义乂議俄峨儀𠌾羛誼
蟻,蚁蟣𧍽𧑢蛾螘𧔮𧕶𡎕
誼,谊議愃義竩𧧼𧨏
議,议義俄訛誼𧭖
掬,匊𡙳揈𢱬𥵱𥸭𥸶
菊,鞠䕮𧃓𧂲蘜𦵳菊𦶗
菊,菊
鞠,告𥷚鞫菊麯𠤄𠮑毱𣮕𣮓𣮥𣯲𥷥陱𩊸𩌽𩍔䪕𡖁𡫭𣮴𩍸躹
吉,𠮷姞桔
吃,喫乞𠰆𠯏𡄊㰟𨋻𠯡
喫,吃𠹙噄𠿊噭𡁒𨋻喫𠲹
喫,喫
桔,吉㮮𣚃橘
橘,桔
詰,诘嘞
砧,碪椹
杵,櫓
黍,𥞆𥞫
却,㕁卻
客,疴
脚,腳卻𦛶踋
虐,謔𣑅𥤫䖈䖋𧆝𧆩𧆧𧆱𩁿䨋𣑾𫊞虐
虐,虐
逆,屰𨒫𨒾
丘,坵邱𠀈𠀌㐀丠𠤢㘳𡊣𤤘𠀉业
久,九乆镹灸𫝄䘨
仇,讎讐㪺𨞜求救㐜
休,茠煦𠇾庥烋𠇲咻
及,乁弓𨕤𢎜𢰽乁
吸,翕噏𬌗吸
吸,吸
宮,宫
弓,及𢎗𢎘𢎜垬㖗岑乃
急,伋㤂忣𢚩
救,捄仇勼𣪋㤹𥘦𧘶𧧷挢
朽,㱙𣦿叒𢩨
求,裘逑仇摎𡨃蛷
泣,立澀涩𣲔䏠浰苙𥅈
灸,𤆐久㡱
球,毬捄𤥲璆
究,鳩廏𥨇𥤳𥦄𥦵𥨓𥨶𡫄䆒𥧖宄
窮,穷躬穹𥧺竆𥨪䠻𨉺
笈,极笠
級,级𨸚
糾,纠糺收繆丩𠃏𠃚𢒥𥾆𥾆𢎥叫𦀽𤓱紏
給,给
旧,舊臼舅𦾔
牛,牜
去,厺𠫟𠫥𠬑弆㚎
居,姬錮倨舉凥㝒𡨢㞐𧿃踞鉅
巨,鉅距詎渠𠫕㠪𢀑矩𢀓
拒,距歫挋
拠,據
挙,𢸁擧舉
渠,𬈇巨詎𠍲𤃄
虚,虛虗
許,许御鄦
距,巨拒岠歫詎鉅𧣒𧣻
鋸,锯倨踞鐻
漁,渔䱷𣿡𤀯𩼪魚𩵎䰻
禦,御吾衙圉圄𢕥𧗻敔𤎇䢩
魚,鱼𩵋漁䏸䐳𤉯𤋳𥆐䁩𩥭𩺰
亨,享烹𠅖亯
享,亯𦎫𬙸烹鄉饗亨𠅖𠅠𠅷𦕺𦴒畗
京,鯨亰𡬱𢂋𦣿
供,攻恭共𩛘龔饗垬
侠,俠
僑,侨矯㝯
兇,凶匈𠒋恟忷𧦙
競,竞竟境傹𥪰竸𧫘𧫙𨐼𧡟兢
共,恭宫洪供𠔏𦱹𩇿拱𢩉
凶,兇匈𠒋㐫𣧑詾㓙
協,协𫝓劦勰叶旪恊𠦢
匡,匤尪皇匩框眶筐迬况
卿,慶𠨍𠨞𡖖𣩃𨜮卿卿卿𨜮
卿,卿
卿,卿
卿,卿
叫,呌𠮧叽𠮪𠶼嘄𠻌嘂噭訆譥𠸵糾叫哯䚯
叫,叫
喬,乔驕橋𠳮嶠
境,競竟疆
峡,峽
強,强鞏𧖑彊
彊,强姜疆強
怯,㹤
恐,鞏𢖶𢘠𢙢㤟𢙷𢝭𢟃𢟈兢
恭,躬共供龔𢙄𢚈龏𡖴㳟㭟
挟,挾
教,𠭂𡥉學𢺽𢻍𤕝𢼂𢼅敎斅𧧿
橋,桥喬檋矯槁橇墧槗鞽𣘺𫞏𫞎
況,况貺皇兄况𡶢湟况
狂,狅誑呈𤝶𤞇𤝵忹𢙌𢚇抂呈㹥忹
狭,狹陿
矯,矫僑撟橋嚆𢱪𥏹
胸,胷匈𦙞𦙄𦚍𦚾𦛄
脅,胁脇翕脥䏩愶脋𦛕
興,兴𪥌𬅊釁衅𠎢㒷𦥷𢍯嬹𨑁昂亢
蕎,荞荍𪍷
郷,鄉鄕
鏡,镜竟獍
響,响鄉薌嚮饗㗽𡨇𡪆𡪥𥖡𧬰𩐢𩐿響𥥣𡩉窨
響,響
饗,飨享響供
驚,惊敬警
仰,佒卬昂𪡝𢓋
凝,冰𡷪𣲝𠘥
尭,堯
暁,曉
業,业隉㸣𤎸𤑽𢄁𤗥菐
局,侷跼𡱈𢩁
曲,麯麴𡆪𠚖䒼𨴈𬧣
極,极綦殛亟
玉,王𤣩𤣪𥝍玊王
桐,僮通𣑸挏
僅,仅堇勤覲㝻廑㢙
勤,懃僅𠢄廑懄瘽勤丄𠢀勤
勤,勤
勤,勤
均,畇耘鈞旬匀𡉲𥘩汮韻圽堒圴袀
巾,䘜𫩒
錦,锦𣁙
斤,觔𧣊釿䤺𣂑𧿧忻
欣,訢睎俽惞忻
欽,钦顉廞吟撳𣣽擒
琴,琹𪻴珡𤦡𤩟𤫍𤫒𨨖䥅𨪖䥆𨫹䦦𩰔
禁,紟🈲
禽,𠎘𢄕擒
筋,肋𦞬竻荕觔𥴤䈥𦬰
緊,紧𦂳𦃂紾
芹,斳䓅菦𧁲
菌,蔨𦵼菌𦽖箘
菌,菌
衿,襟䘳
襟,𧛛䘳衿
謹,谨𧫴堇𧭩謹
謹,謹𧭩
近,𠧣𢆌𣥍𣥪𣂠
金,噤𠉓𠊍𨥄𨤾𨥀釒钅𫰾
吟,唫噤欽㕂噖訡䪩㖗哽唵𫩒
銀,银垠𨧏艮
九,尢久鳩𠔀玖𢌬𣲄
倶,俱具
句,苟後彀矩拘區勾𠯶鉤絇鈎𤖮鉅
区,區
狗,𢑪㺃豿𧲿
玖,九㺵𤣵
矩,榘句柜萭巨𥎦
苦,盬沽辜𡿵瘔𩇵若苦
苦,苦
躯,軀
駆,驅駈敺
駈,驱驅駆敺𣦘𩤀
駒,驹驕馰
具,𥃲具𥃲俱倶
具,具
愚,禺遇
虞,吴娱𠈌𡑾𩦢
喰,飧餐
空,𥤧孔𢦉𫞹🈳𫯞
偶,禺寓遇牰媀
寓,庽禺偶宇𡪾䴁
遇,愚偶𠓱𨔆
隅,堣嵎𨺁𨺷
串,穿鋛
櫛,栉楖扻櫛
櫛,櫛
釧,钏
屑,㞕
屈,掘淈黜𡕜𡲒𡲗𡲬𡲶𣮈詘窟𡳘
掘,兀崛拙屈窟闕𢴺撅𢶵欮搰𣔭
窟,掘堀𡑣𡻋窋𥦙𥧊𩨳屈𢷈
沓,錔遝𠴲踏㳫
靴,鞾𡲲𩋖𩋾𩍍𩍇𩎁韡㞜
轡,辔𣦱𢢦𢥩𦆕𦇷𨏯𨏷䩛
窪,洼䨟漥𥦠窊
熊,熋𤠗能𧰯𪏛㷱
隈,委威畏𨸰𨺯
栗,慄凓歷裂鄰傈𡨓㮚𣗴𣡷𣡼𣓨
繰,缲澡璪繅
桑,桒𠭌𠭨𣕐枽桒槡𦶫
鍬,锹鍫𠝡喿橾𣂥銚鐰𢊙
勲,𬋒𬟓勳勛
君,𠁈𠱰𠱩𠱭𠺞
薫,薰蘍燻
訓,训紃順馴𧥥𧥿𫶧愠
群,羣丄𠹩䭽𡲻
軍,军𠣞𠣦𡗺𠖉𦉼𡗽𡨏倱
郡,𨛦
卦,挂掛𤌻咵
袈,毠𣮱𣮫𧛣
係,系繫繋
傾,倾頃廎𨻺𩑭𣻳
刑,𠛬型形鉶穽㓝𠜚
兄,況
啓,启𠶶啟唘跽棨𠭎啔𠶳𢻻𢼄諬闙䁈
啓,啟
圭,邽珪𡉐
珪,圭
型,刑形坓𡌑𡌒硎𡌁𠜚型
型,型
契,楔挈卨禼偰𡬨𢍆𢍠栔𣓇猰
形,行刑型鉶侀𢒈形𠀦
形,形
径,徑逕
恵,惠慧
慶,庆卿𢙎𢝑𢞢
慧,惠譿恵
憩,憇偈𡲽𡳅𢠾𦧗𦧰
掲,揭
携,㩗㩦擕攜
敬,驚檠𢾠𢿩憼𣀖敬
敬,敬
景,影𠎠幜暻𦚎𬄣㬌
桂,筀
渓,溪谿嵠磎𧮾
畦,𤳬㽯
稽,𥡴楷指階棨乩卟𥞞𥟵𥠻𥡞䭫䭬𩠜𩠥𩠦𩠨𥡳
系,係繫𢁴𣫦𦃟𦂞
経,經
継,繼㡭
繋,繫係
罫,𥦛𦁊
茎,莖
荊,荆𦮓
蛍,螢
計,计峜𧨻
詣,诣
警,驚䜘
軽,輊輕
頚,頸
鶏,鷄雞𨿸
芸,蕓雲耘𥘟𦱚蒷藝秇
迎,𨒖𨒦迊
鯨,鲸𩵙京擎𩼃䲔
劇,剧遽𠟵勮據
戟,棘屰㦸𢧢撠激
撃,擊
激,噭礉徼戟
隙,𨻶𨻩卻郤𡭴𡭽𡮱郄𧯈𧯊䧍隟𨻈
桁,衡斻航行
傑,杰𪝨楬偈桀
欠,㐸𣣓缺缼歇喊
決,决抉訣缺夬吷𣲺𦐍蹶
潔,洁㓗絜洯𣳱
穴,宂鐍閲𠕉岤𥤢
